Sample,UMAP_1,UMAP_2
MAI5619012022,9.81225,5.8489404
MAI5624112021,12.75424,5.1703315
MAI5625042022,6.876495,7.457555
MAI568082022,4.088513,8.158587
MAI569032022,6.2200713,7.6284842
MAP10-76K,5.079997,8.553836
MAP10-77K,8.591319,6.7150273
MAP10-78K,9.483797,6.6615405
MAP10-79K,3.2997088,8.792681
MAP10-80K,11.329466,5.95404
MAP10-81K,6.5328255,7.658012
MAP10-82K,-0.550045,8.282462
MAP10-83K,7.295266,7.7877502
MAP10-84K,1.3870814,8.874816
MAP10-85K,1.8459762,8.611227
MAP10-86K,6.5728335,7.6760902
MAP10-87K,6.805099,6.9553723
MAP10-88K,5.243295,7.5434194
MAP10-89K,4.4089503,7.62807
MAP10-90K,7.707359,6.3576946
MAP11-100L,3.1535537,8.22134
MAP11-101L,7.8450913,6.2196584
MAP11-102L,0.98082674,8.7460785
MAP11-103L,4.790744,7.612484
MAP11-104L,4.391332,7.676562
MAP11-105L,7.4900784,6.2353187
MAP11-91L,12.9423685,5.3013673
MAP11-92L,9.2677765,6.4688807
MAP11-93L,10.114387,6.561737
MAP11-94L,7.140975,7.2629
MAP11-95L,11.899487,5.7440543
MAP11-96L,2.1804833,9.165135
MAP11-97L,8.368751,6.3849897
MAP11-98L,2.4805548,8.067843
MAP11-99L,2.323139,9.29371
MAP12-106M,9.800849,6.0133204
MAP12-107M,10.938253,5.3562098
MAP12-108M,-2.0224094,6.376262
MAP12-110M,2.65923,9.312354
MAP12-111M,-1.0539666,8.662251
MAP12-112M,10.017467,5.141087
MAP12-113M,7.8968716,6.3358145
MAP12-114M,-1.9967554,7.818993
MAP12-115M,2.9115722,9.407331
MAP12-116M,-0.011854339,8.758053
MAP12-117M,2.7328513,9.348307
MAP12-118M,-1.1384293,7.233314
MAP12-119M,5.306045,7.5140295
MAP12-120M,4.83404,8.340087
MAP5-10B,2.5388021,8.16229
MAP5-11B,4.410474,8.387752
MAP5-12B,9.181827,6.5777397
MAP5-13B,8.340752,6.416875
MAP5-14B,7.205216,7.7928524
MAP5-15B,11.985822,5.841776
MAP5-1A,7.548764,7.4817457
MAP5-2A,6.9053655,7.047607
MAP5-3A,12.935081,5.7131314
MAP5-4A,13.318862,6.222487
MAP5-5A,9.743405,6.3356466
MAP5-6A,0.4549723,8.864756
MAP5-7A,3.556328,8.744964
MAP5-8A,5.4758587,8.262092
MAP5-9B,2.6808999,7.9420104
MAP6-16C,10.978005,6.083418
MAP6-17C,11.08109,5.733643
MAP6-18C,9.379754,6.1572156
MAP6-19C,12.760561,5.604224
MAP6-21C,9.94618,6.643212
MAP6-22C,3.266987,9.081556
MAP6-23C,7.708252,7.812563
MAP6-24D,7.1426826,7.8770337
MAP6-25D,5.446608,7.9995694
MAP6-26D,7.481386,7.871722
MAP6-27D,9.680247,6.5514545
MAP6-28D,7.4203024,7.534448
MAP6-29D,6.4516964,7.775867
MAP6-30D,8.808084,6.9664655
MAP7-31E,8.867969,6.1848
MAP7-32E,10.973497,5.4794216
MAP7-34E,13.3876095,6.144841
MAP7-35E,12.576291,6.118286
MAP7-36E,0.0816879,7.9378204
MAP7-37E,3.1326144,9.386114
MAP7-38F,2.8663168,7.8054957
MAP7-39F,7.527617,6.8761473
MAP7-40F,9.188456,6.783221
MAP7-41F,4.2747526,8.451065
MAP7-42G,11.943335,6.065661
MAP7-43G,3.8387904,8.269311
MAP7-44G,9.293063,6.497478
MAP7-45G,10.846865,6.3054614
MAP8-46H,13.425767,6.103345
MAP8-47H,7.6138268,7.41056
MAP8-48H,3.2673678,8.550599
MAP8-49H,13.5465765,6.1622634
MAP8-50H,13.144982,6.3073816
MAP8-51H,10.345651,6.5406184
MAP8-52H,8.424903,6.4367003
MAP8-53H,2.9498963,8.054561
MAP8-54H,11.423975,6.0637774
MAP8-55H,10.369603,6.4974103
MAP8-56H,4.794674,8.337616
MAP8-57H,4.781482,8.802305
MAP8-58H,10.108662,6.5002375
MAP8-59H,7.7184696,7.7276993
MAP8-60H,7.7498593,6.619873
MAP9-61J,9.52051,6.1414924
MAP9-62J,8.740708,6.844255
MAP9-63J,9.084114,6.318865
MAP9-64J,3.1161392,8.796069
MAP9-65J,6.6548424,7.6904035
MAP9-66J,4.5813255,8.556648
MAP9-67J,7.4747286,7.651821
MAP9-68J,-1.1364782,7.2013044
MAP9-69J,6.3838854,8.1900835
MAP9-70J,4.739618,8.361677
MAP9-71J,-0.49481216,7.719444
MAP9-72J,7.9460683,7.169966
MAP9-73J,5.8937345,8.101181
MAP9-74J,2.3687353,8.348365
MAP9-75J,2.9321225,8.840815
P21,4.0762973,9.197019
P22,-1.9826192,7.6344213
P23,1.6205274,8.922268
W176,4.5636463,8.935988
W194,-1.0525979,6.818538
W195,-2.6179945,6.4497437
W197,-0.5776048,8.213318
W210,-2.5707188,6.4070826
W211,-2.9154515,5.6964107
W217,-2.437178,7.082681
W218,2.0488946,8.175462
W219,-2.6016128,6.668839
W220,0.19957155,8.564337
W221,-2.5250905,7.089766
W222,-2.1203265,7.7107453
W223,-0.10878163,8.828688
W224,-1.9956286,7.810703
W225,2.7828012,9.294023
W226,-2.5314255,7.064386
W227,-0.71532613,8.822834
W228,-1.9160225,7.9214277
W229,3.9197803,9.161952
W230,-0.7934231,8.867773
W231,-1.6969842,7.332177
W232,-0.70092475,8.86234
W233,0.0059871376,7.538164
W235,-2.5066535,6.928048
W237,-0.6095569,8.877187
W238,-2.6270196,6.855304
W239,-0.88754576,6.9907722
W240,-2.729923,5.8327446
W241,7.7891693,6.555959
W242,0.24641693,8.85043
W243,-0.76221585,8.770285
W244,-2.2395518,6.2879863
W245,6.016535,8.570639
W246,-1.7194884,6.8004856
W247,3.6492798,8.535276
W248,6.1243553,8.51623
W249,-2.5446076,6.9087276
W250,1.5157328,8.157253
W252,-2.9293165,5.6560645
W253,-0.3987229,8.198788
W254,3.774504,7.717346
W255,-0.8527883,7.6002464
W257,2.9147756,7.5025573
W259,-2.5085294,6.4174647
W261,-2.8101864,5.7823935
W262,-2.8994803,5.703376
W264,1.3137553,8.576276
W265,2.512296,7.681825
W267,7.1487856,7.887208
W268,-1.7304949,6.707186
W270,-1.0847383,6.731478
W271,-0.7683454,7.600473
W274,4.3069224,7.692742
W275,-2.8716695,5.7021036
W276,0.43809077,8.705321
W277,4.100816,8.369081
W278,-2.8766668,5.7600203
W279,-1.3905873,7.3097777
W281,-1.3346647,7.0825114
W283,1.3210723,8.824531
W284,-2.6201727,6.5443425
W285,3.5090554,7.67975
W286,-0.99317056,6.847264
W287,-0.5116958,7.482775
W288,-2.443084,6.063786
W289,3.546557,8.101731
W290,3.758214,8.5976095
W291,0.47965893,8.66844
W292,-0.2219235,7.4608927
W293,5.4594626,7.5221663
W294,-0.5335461,7.2285876
W295,3.0126116,7.621437
W296,1.6899809,8.020773
W297,7.544931,7.8791747
W298,1.0631703,8.102172
W299,-2.7090597,5.8831434
W300,-2.0763936,6.274874
W301,5.2472806,7.7020955
W302,-0.32604352,7.619429
W303,-1.0654199,6.8143
W304,2.7151005,7.982446
W305,-0.06898879,7.4700875
W306,3.509769,7.796829
W307,-2.295583,6.1096983
W308,-2.8274844,5.766638
W309,3.411383,7.5228443
W310,-2.3133154,6.1502285
W311,2.9424348,7.5704894
W312,-0.89092934,7.6326046
W313,-2.22927,6.300414
